genotype,type,all
BamHSbam,input,BamHSbam_input
BamHSbam,input,BamHSbam_input
BamHSbam,input,BamHSbam_input
BamHSbam,input,BamHSbam_input
BamHSbam,polysome,BamHSbam_polysome
BamHSbam,polysome,BamHSbam_polysome
BamHSbam,polysome,BamHSbam_polysome
BamHSbam,polysome,BamHSbam_polysome
BamRNAi,input,BamRNAi_input
BamRNAi,input,BamRNAi_input
BamRNAi,input,BamRNAi_input
BamRNAi,polysome,BamRNAi_polysome
BamRNAi,polysome,BamRNAi_polysome
BamRNAi,polysome,BamRNAi_polysome
TKV,input,TKV_input
TKV,input,TKV_input
TKV,polysome,TKV_polysome
TKV,polysome,TKV_polysome
youngWT,input,youngWT_input
youngWT,input,youngWT_input
youngWT,polysome,youngWT_polysome
youngWT,polysome,youngWT_polysome
